subject_left_out,model,accuracy,macro_f1,kappa
1,LogReg,0.5283018867924528,0.4301075268817204,-0.12765957446808507
1,RF,0.2830188679245283,0.26173020527859236,-0.1833137485311398
1,SVM-linear,0.5471698113207547,0.38846153846153847,-0.16697247706422003
1,SVM-rbf,0.37735849056603776,0.3543743078626799,-0.26831036983321255
2,LogReg,0.6111111111111112,0.37931034482758624,0.0
2,RF,0.6296296296296297,0.42917547568710357,0.05759162303664922
2,SVM-linear,0.6111111111111112,0.37931034482758624,0.0
2,SVM-rbf,0.6111111111111112,0.37931034482758624,0.0
3,LogReg,0.6056338028169014,0.45860566448801743,0.10771992818671461
3,RF,0.6901408450704225,0.6604347826086957,0.3414839797639123
3,SVM-linear,0.5915492957746479,0.4275785376702808,0.07210455159981966
3,SVM-rbf,0.5633802816901409,0.36036036036036034,0.0
4,LogReg,0.631578947368421,0.4185792349726776,0.04230423042304232
4,RF,0.6052631578947368,0.47368421052631576,0.036348267117497834
4,SVM-linear,0.618421052631579,0.3821138211382114,0.0
4,SVM-rbf,0.631578947368421,0.4185792349726776,0.04230423042304232
5,LogReg,0.6111111111111112,0.6111111111111112,0.23170731707317072
5,RF,0.4444444444444444,0.4405594405594406,-0.11801242236024834
5,SVM-linear,0.6111111111111112,0.6108108108108108,0.22699386503067487
5,SVM-rbf,0.5416666666666666,0.5208711433756805,0.051118210862619806
6,LogReg,0.5675675675675675,0.45185185185185184,0.09272030651341001
6,RF,0.6216216216216216,0.6145833333333333,0.23429416112342938
6,SVM-linear,0.5540540540540541,0.40540540540540543,0.06004618937644357
6,SVM-rbf,0.6216216216216216,0.6075757575757575,0.2297397769516729
7,LogReg,0.53125,0.3469387755102041,-0.06194690265486735
7,RF,0.59375,0.4340136054421769,0.07964601769911506
7,SVM-linear,0.53125,0.3469387755102041,-0.06194690265486735
7,SVM-rbf,0.53125,0.37499999999999994,-0.05263157894736836
8,LogReg,0.6533333333333333,0.6238425925925926,0.2919389978213507
8,RF,0.7733333333333333,0.7673782156540777,0.5531019978969506
